,0051,0053,0054,0055,0059,0064,0067,0068,0069,0073,0075,0079
Florida Node Alliance,79.0,,,,,28.0,1.0,,,,,
Greater New York,91.0,,,,552.0,27.0,,24.0,37.0,,,
Mid Atlantic,63.0,,,,211.0,47.0,,,105.0,25.0,,
Mid Southern,,,,,,,,,,,12.0,
New England Consortium,81.0,45.0,,,,50.0,,,,,,
Northstar,,,,,,,,27.0,,,,
Ohio Valley,91.0,37.0,,27.0,,53.0,1.0,,92.0,,,
Pacific Northwest,67.0,,,,,,,,86.0,,,
Pacific Region,,48.0,12.0,,,,,,,,,
Southern Consortium,,53.0,,,390.0,14.0,,25.0,,,,
Southwest,32.0,,,,,,,,,,,
Texas,,53.0,19.0,,,64.0,,30.0,,,,
Western States,66.0,66.0,,24.0,,,2.0,32.0,,,,
